category	module	proc	kind	scope	start	lines	why
B	Form_FRM_DragAndDrop社内備考	キャンセル_Click	Sub	Private	17	4	コントロール「キャンセル」消滅
B	Form_M_会社マスタ	削除ボタン_Click	Sub	Private	28	4	コントロール「削除ボタン」消滅
B	Form_M_会社マスタ	削除_Click	Sub	Private	44	13	コントロール「削除」消滅
B	Form_M_気付先マスタ	削除ボタン_Click	Sub	Private	28	4	コントロール「削除ボタン」消滅
B	Form_M_気付先マスタ	削除_Click	Sub	Private	44	13	コントロール「削除」消滅
B	Form_M_編機マスタ	コマンド16_Click	Sub	Private	53	16	コントロール「コマンド16」消滅
B	Form_M_編機メーカマスタ	削除_Click	Sub	Private	41	13	コントロール「削除」消滅
B	Form_M_編立工場マスタ	コマンド7_Click	Sub	Private	43	16	コントロール「コマンド7」消滅
B	Form_fマスタメンテメニュー	メーカ商社マスタ_Click	Sub	Private	3	4	コントロール「メーカ商社マスタ」消滅
B	Form_fマスタメンテメニュー	気付部課マスタ_Click	Sub	Private	7	4	コントロール「気付部課マスタ」消滅
B	Form_設計一覧表	設計一覧印刷_Click	Sub	Private	956	6	コントロール「設計一覧印刷」消滅
F	Form_設計一覧表	subリプロ複写時の一覧	Sub	Public	1106	32	Public・参照ゼロ(外部/Macro呼出は要確認)
A	Form_設計書印刷	Wait	Sub	Private	292	11	コメント内のみ言及
A	Form_試編生機出荷案内書	Wait	Sub	Private	692	10	コメント内のみ言及
F	x	ErrorMessage	Sub	Public	205	34	Public・参照ゼロ(外部/Macro呼出は要確認)
F	共通モジュール	INIT	Function	Public	85	4	Public・参照ゼロ(外部/Macro呼出は要確認)
A	共通モジュール	空白文字可能に	Sub	Private	114	20	通常プロシージャ・全コーパス参照ゼロ
F	共通モジュール	Sample1	Sub	Public	206	12	Public・参照ゼロ(外部/Macro呼出は要確認)
